company_id,company_name,founded_year,india_employee_count,global_employee_count
414,Exide,1947,1k-5k,10k-50k
2700668,Jio,2007,50k-1 Lakh,
475017,Fidelity National Financial (FNF),,,
21899,Samsung India,,,
402953,Malabar Group,,,
3350294,Iifl Samasta,,,
95443,Grant Thornton India Pvt Ltd,,,
31125,Biocon,1978,10k-50k,
609777,Entertainment Network India (ENIL),,,
5042106,Mantravat Infotech,,,
4812830,Syth Infotech,,,
2360802,Vedantu Innovations,2011,5k-10k,
123552611,Teamlease Regtech,,,
41172,Applied Materials,2002,5k-10k,10k-50k
18532,SAP,1972,5k-10k,1 Lakh+
27614,Dell Technologies,1984,10k-50k,1 Lakh+
1863840,Visa Inc,,,
27654,Fiserv,1984,5k-10k,10k-50k
3658,Thales,2000,1k-5k,50k-1 Lakh
163729,Watson Pharama,,,
38108,Abbott,1991,1k-5k,1 Lakh+
929,Philips,1930,5k-10k,50k-1 Lakh
416,EXL,1999,10k-50k,10k-50k
63588,Zeta,2015,501-1k,1k-5k
2406,Tata Consumer Products,1962,1k-5k,1k-5k
4058520,Royaloak Incorporation,,,
5306034,Standard Chartered Research And Technology India P Rivate,,,
15439,Hindustan Coca Cola Beverages (HCCB),,,
123938683,Vertex Global Solutions,,,
682413,Zynga,2007,501-1k,
2069,Manipal Hospitals,1953,5k-10k,5k-10k
1632940,Nobroker Technologies Solutions (Nobroker.in ),,,
123486959,Cognizance International Academy,,,
943132,Star Light Hr Consulting,,,
114439,ANZ,2007,1k-5k,10k-50k
3006198,WPP Aunz,,,
425393,Hindustan Unilever Ltd,,,
22524,Cargill,1865,1k-5k,1 Lakh+
168845,Walmart,2009,5k-10k,1 Lakh+
6365704,Jubilant Ingrevia Limited,,,
28261,Morgan Stanley,1931,10k-50k,50k-1 Lakh
33042,Quality Engineering  Software Technologies Pvt. Ltd.,,,
79399,CAE,1947,51-200,10k-50k
1866,DXC Technology,2017,10k-50k,10k-50k
2041546,Telstra,1992,1k-5k,10k-50k
704169,Altisource,2007,1k-5k,5k-10k
3568676,Phonepe,2015,501-1k,1k-5k
3724808,Wabtec,1872,1k-5k,10k-50k
5463,Kone,1910,5k-10k,50k-1 Lakh
4471358,ITC Limited (itc Foods  Beverages Division),,,
14250,Fidelity,1968,5k-10k,50k-1 Lakh
755803,Sapiens,1982,1k-5k,1k-5k
33042,Quest Global,1997,10k-50k,10k-50k
1070790,Ather Energy,2013,1k-5k,1k-5k
3253304,Weiwo Telecom Services Private Limited(Vivo),,,
30203,Volvo Group,,,
31656,Yokogawa,1915,1k-5k,10k-50k
7097,Hsbc,2002,10k-50k,1 Lakh+
5728468,NTT Managed Services,,,
6383810,M/S One Kee Co .,,,
1119552,Tech Mahindra Cerium,,,
196760,Concentrix Catalyst,1983,,10k-50k
234718,Intel,1968,10k-50k,1 Lakh+
123942507,Greenapp Infotech (opc),,,
